dataset,view,metric,optimistic,reported,pessimistic,range,all_positive,sign_change
NanoMine,loading_focus_soft__no_settings__L1.00__K12,paper ARI gain vs material-only,0.041697380004527204,0.066238640624433,0.06863197913182871,0.026934599127301506,True,False
NanoMine,loading_focus_soft__no_settings__L1.00__K20,paper ARI gain vs material-only,0.07590912352637962,0.1288783562256629,0.17778705587955512,0.10187793235317551,True,False
NanoMine,loading_focus_soft__no_settings__L1.00__K30,paper ARI gain vs material-only,0.1483569739487277,0.19512109603895011,0.2740482744935323,0.1256913005448046,True,False
NanoMine,loading_focus_soft__no_settings__L1.00__K50,paper ARI gain vs material-only,0.30268776911461903,0.3638370034299738,0.5092437111821767,0.20655594206755767,True,False
NanoMine,loading_focus_soft__no_settings__L1.00__K80,paper ARI gain vs material-only,0.25176143185779465,0.35117919911752105,0.6636128505403439,0.41185141868254926,True,False
NanoMine,loading_focus_soft__sequence__L0.25__K8,paper ARI gain vs material-only,0.0010102133454077998,0.0034216674348517997,0.0009115762405652,0.0025100911942865997,True,False
NanoMine,loading_focus_soft__sequence__L0.25__K12,paper ARI gain vs material-only,0.0064828773945214,0.006624220645257401,0.0009991694497969998,0.0056250511954604,True,False
NanoMine,loading_focus_soft__sequence__L0.25__K20,paper ARI gain vs material-only,-0.043054093077595994,0.012501008563946904,0.00045316134735279984,0.0555551016415429,False,True
NanoMine,loading_focus_soft__sequence__L0.25__K30,paper ARI gain vs material-only,0.03365180275913571,0.045210739275379996,0.00041426924216859994,0.0447964700332114,True,False
NanoMine,loading_focus_soft__sequence__L0.25__K50,paper ARI gain vs material-only,0.053412202071301984,0.045246177389005576,0.0005567188437409997,0.052855483227560986,True,False
NanoMine,loading_focus_soft__sequence__L0.25__K80,paper ARI gain vs material-only,0.12176943616237412,0.16610161384143007,0.0036365360438574,0.16246507779757266,True,False
NanoMine,loading_focus_soft__sequence__L0.50__K8,paper ARI gain vs material-only,0.008024403557329399,0.0025303946902199997,-0.0004974848211930002,0.0085218883785224,False,True
NanoMine,loading_focus_soft__sequence__L0.50__K12,paper ARI gain vs material-only,0.061469222085858005,0.0759530595937738,0.0007848808782549999,0.0751681787155188,True,False
NanoMine,loading_focus_soft__sequence__L0.50__K20,paper ARI gain vs material-only,0.04781394313641861,0.08180076490730259,0.0028096036471265,0.0789911612601761,True,False
NanoMine,loading_focus_soft__sequence__L0.50__K30,paper ARI gain vs material-only,0.1294455375107506,0.10504104355687871,0.0081048744942386,0.121340663016512,True,False
NanoMine,loading_focus_soft__sequence__L0.50__K50,paper ARI gain vs material-only,0.2269353419735931,0.20243701349079202,0.1066851368363282,0.1202502051372649,True,False
NanoMine,loading_focus_soft__sequence__L0.50__K80,paper ARI gain vs material-only,0.2899349847611572,0.3683912851665705,0.2752924576416863,0.09309882752488419,True,False
NanoMine,loading_focus_soft__sequence__L0.75__K8,paper ARI gain vs material-only,0.0455070031925772,0.0279119619660022,0.0157950360313651,0.0297119671612121,True,False
NanoMine,loading_focus_soft__sequence__L0.75__K12,paper ARI gain vs material-only,0.0924764152598353,0.128219164796247,0.0975230883136325,0.03574274953641171,True,False
NanoMine,loading_focus_soft__sequence__L0.75__K20,paper ARI gain vs material-only,0.0753814634081423,0.1087910458328128,0.17607772377815992,0.10069626037001762,True,False
NanoMine,loading_focus_soft__sequence__L0.75__K30,paper ARI gain vs material-only,0.1418395489755363,0.17929023779146958,0.2126265275128332,0.0707869785372969,True,False
NanoMine,loading_focus_soft__sequence__L0.75__K50,paper ARI gain vs material-only,0.30906609046655065,0.342094600973133,0.4705865394570418,0.16152044899049117,True,False
NanoMine,loading_focus_soft__sequence__L0.75__K80,paper ARI gain vs material-only,0.2764402296791437,0.38548371543449556,0.6747198437440464,0.39827961406490264,True,False
NanoMine,loading_focus_soft__sequence__L1.00__K8,paper ARI gain vs material-only,0.0330765645149556,0.029561563156464,0.024514071841543802,0.0085624926734118,True,False
NanoMine,loading_focus_soft__sequence__L1.00__K12,paper ARI gain vs material-only,0.0787328253705307,0.1171969135857045,0.10990463043450531,0.0384640882151738,True,False
NanoMine,loading_focus_soft__sequence__L1.00__K20,paper ARI gain vs material-only,0.0865809464538189,0.1492230748167723,0.2016165457607435,0.1150355993069246,True,False
NanoMine,loading_focus_soft__sequence__L1.00__K30,paper ARI gain vs material-only,0.18541811810790548,0.223113609501487,0.3266889207397759,0.14127080263187042,True,False
NanoMine,loading_focus_soft__sequence__L1.00__K50,paper ARI gain vs material-only,0.1965066302383393,0.3217387767939318,0.5018517550799283,0.305345124841589,True,False
NanoMine,loading_focus_soft__sequence__L1.00__K80,paper ARI gain vs material-only,0.2682284101425986,0.3721358317102259,0.7004985123835635,0.43227010224096496,True,False
NanoMine,loading_focus_soft__settings_all__L0.25__K8,paper ARI gain vs material-only,0.0010004829988940998,0.0017446363566202996,0.0001163066437864001,0.0016283297128338995,True,False
NanoMine,loading_focus_soft__settings_all__L0.25__K12,paper ARI gain vs material-only,-0.0262370669858839,0.0016776130089981005,0.00012243285550180005,0.027914679994882,False,True
