material_profile,process_profile,process_lambda,bound,requested_clusters,mean_pair_distance,mean_same_paper_distance,mean_cross_paper_distance,mean_interval_width,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
identity_strict,equal,0.75,pessimistic,8,0.7552094459533691,0.0973479151725769,0.7648347616195679,0.20873568952083588,0.9929789368104313,0.38781547998156796,2.560441725682599,0.03610951029668157,2.5040949391216913,0.04305468882227471,0.41785049392495327,8,0.5649038461538461,8437,0.5565959464264549,1.4512454114809976,92,1.0,2.5796457161033315
identity_strict,equal,0.75,pessimistic,12,0.7552094459533691,0.0973479151725769,0.7648347616195679,0.20873568952083588,0.9929789368104313,0.22356777444813933,4.44151192747491,0.061019205640886566,4.231513603456754,0.09025480775788064,0.5327875967129708,12,0.2956730769230769,8437,0.2669195211568093,1.199816246927187,92,0.782608695652174,3.5029092155630464
identity_strict,equal,0.75,pessimistic,20,0.7552094459533691,0.0973479151725769,0.7648347616195679,0.20873568952083588,0.9921765295887663,0.08981512190683599,11.046876166553975,0.139139730497651,9.64895652439638,0.22443753632174218,0.7124961081413363,20,0.19230769230769232,8437,0.16747659120540476,1.9065409368982,92,0.782608695652174,8.731743303231283
identity_strict,equal,0.75,pessimistic,30,0.7552094459533691,0.0973479151725769,0.7648347616195679,0.20873568952083588,0.9921765295887663,0.07185561957201264,13.807918371567608,0.16807122468397445,11.655275845205864,0.26943179234368203,0.7560531386328335,30,0.16466346153846154,8437,0.15301647505037336,2.192376190370737,92,0.782608695652174,10.920581372566483
identity_strict,equal,0.75,pessimistic,50,0.7552094459533691,0.0973479151725769,0.7648347616195679,0.20873568952083588,0.9869608826479438,0.03078562183199251,32.05915047076591,0.319293919138166,22.142152591853044,0.4709668036264212,0.8542964551570628,50,0.0985576923076923,8437,0.12646675358539766,4.459946304482533,92,0.782608695652174,25.5900346841075
identity_strict,equal,0.75,pessimistic,80,0.7552094459533691,0.0973479151725769,0.7648347616195679,0.20873568952083588,0.9857572718154464,0.012415214067053896,79.39913613179965,0.5374015748031497,37.26731691136401,0.6898007929738229,0.9285683862889832,80,0.06971153846153846,8437,0.09055351428232784,8.68106705269654,92,0.782608695652174,64.11048371917937
identity_strict,equal,1.0,optimistic,8,0.4994763135910034,0.018933530896902084,0.5065072774887085,0.2092113196849823,0.9829488465396189,0.4053317914596241,2.4250474975080567,0.03426549464689058,2.376217540110629,0.03945313165996583,0.39848014781494023,8,0.5877403846153846,8437,0.5389356406305559,1.340838170739007,92,1.0,2.4680926606235825
identity_strict,equal,1.0,optimistic,12,0.4994763135910034,0.018933530896902084,0.5065072774887085,0.2092113196849823,0.9797392176529589,0.2639128176078847,3.712359356144012,0.05151790046623489,3.5726242968055235,0.07247467285123735,0.5259202977927349,12,0.45552884615384615,8437,0.46153846153846156,1.7827261086351573,92,1.0,3.791986729900029
identity_strict,equal,1.0,optimistic,20,0.4994763135910034,0.018933530896902084,0.5065072774887085,0.2092113196849823,0.9797392176529589,0.12048627722615354,8.131541949910046,0.10632415369543921,7.373286787542337,0.17024257725461908,0.6759228578591955,20,0.22596153846153846,8437,0.2953656512978547,2.5452508213216984,92,0.782608695652174,6.505073118044556
identity_strict,equal,1.0,optimistic,30,0.4994763135910034,0.018933530896902084,0.5065072774887085,0.2092113196849823,0.9795386158475426,0.07983011995503521,12.27028866296673,0.15220372794713546,10.554908713422856,0.24461308429349093,0.743447568720355,30,0.17067307692307693,8437,0.27106791513571177,3.6154793045039932,92,0.782608695652174,9.82679217400921
identity_strict,equal,1.0,optimistic,50,0.4994763135910034,0.018933530896902084,0.5065072774887085,0.2092113196849823,0.9771313941825477,0.028651848634179702,34.10360729802602,0.33287774208979704,23.08415324563179,0.48551725040306287,0.8549497259663448,50,0.08533653846153846,8437,0.026194144838212634,0.9122349105934665,92,0.782608695652174,27.509947503028673
