material_profile,process_profile,process_lambda,requested_clusters,ari_optimistic_reported,ari_reported_pessimistic,ari_optimistic_pessimistic
identity_strict,no_settings,0.75,80,0.9128095901360895,0.9508973722578534,0.9607966021215
identity_strict,no_settings,1.0,8,1.0,1.0,1.0
identity_strict,no_settings,1.0,12,1.0,1.0,1.0
identity_strict,no_settings,1.0,20,1.0,1.0,1.0
identity_strict,no_settings,1.0,30,1.0,1.0,1.0
identity_strict,no_settings,1.0,50,1.0,1.0,1.0
identity_strict,no_settings,1.0,80,1.0,1.0,1.0
identity_soft,equal,0.0,8,0.8026775275517293,0.8864552008366254,0.7538116782493443
identity_soft,equal,0.0,12,0.5514141909513841,0.7040323395552276,0.3903245503943013
identity_soft,equal,0.0,20,0.8623179196922712,0.5505848289515483,0.5899612178217936
identity_soft,equal,0.0,30,0.9065045228522797,0.6630947035130228,0.6197227898674886
identity_soft,equal,0.0,50,0.7928737743486434,0.6142576252037566,0.49209852231065737
identity_soft,equal,0.0,80,0.7798477786978828,0.4981858255305817,0.45419224276433523
identity_soft,equal,0.25,8,0.7035056054102518,0.6810847547972051,0.589670252278219
identity_soft,equal,0.25,12,0.7380654992488472,0.7321431788532873,0.6442526079126365
identity_soft,equal,0.25,20,0.7588291804493205,0.6719897909535738,0.6266264668539395
identity_soft,equal,0.25,30,0.7595670708997203,0.6936975281759686,0.8260299900771518
identity_soft,equal,0.25,50,0.5492554096802736,0.6411118906416817,0.5766921778099974
identity_soft,equal,0.25,80,0.9199526069396456,0.5680017977867707,0.5297760883527303
identity_soft,equal,0.5,8,0.7460801438498718,0.6699289773778858,0.7497407925110336
identity_soft,equal,0.5,12,0.5539921580543156,0.7383584476027799,0.5899843145123113
identity_soft,equal,0.5,20,0.5966258231101693,0.6567860952186075,0.8241806392931632
identity_soft,equal,0.5,30,0.7431587583333604,0.779085464848653,0.8023132142054521
identity_soft,equal,0.5,50,0.7110758978486105,0.65874435518125,0.7101422644430013
identity_soft,equal,0.5,80,0.8109043181305997,0.7267788899915996,0.7455838396000876
identity_soft,equal,0.75,8,0.45896298553692294,0.7356478314936263,0.646006666806479
identity_soft,equal,0.75,12,0.35715634047470785,0.5193228103498505,0.6434850928083979
identity_soft,equal,0.75,20,0.5011842984255876,0.5101814517208367,0.5669668925300775
identity_soft,equal,0.75,30,0.5746253984907269,0.7184495752375256,0.617901253962399
identity_soft,equal,0.75,50,0.7326756774612178,0.7119142769753412,0.7677467539581951
identity_soft,equal,0.75,80,0.8993499580493918,0.8132522031863118,0.848986215249841
identity_soft,equal,1.0,8,0.8076658900301033,0.7883925636915157,0.9662442884163911
identity_soft,equal,1.0,12,0.49420488240891175,0.49544380327070087,0.988122654511857
identity_soft,equal,1.0,20,0.746090346272475,0.7552596458930844,0.8234700102727195
identity_soft,equal,1.0,30,0.6808596319797429,0.7124170354485352,0.6356834936174002
identity_soft,equal,1.0,50,0.8382955353560143,0.8699975040784995,0.8368823998640096
