left,right,occurrence_settings,aligned_settings,fixed_scale_balanced,subset_scale_balanced,augmented_descriptors_balanced
l180-s3-maillard-2012,l289-s1-motaung-2012,0.7496515679442508,0.7496515679442508,0.6665795586527293,0.66662302141527,0.5409902589712301
l146-s3-tao-2011,l388-s1-benes-2018,1.0,1.0,0.6785714285714286,0.6785714285714286,0.6785714285714286
l274-s3-goh-2003,l287-s2-jang-2008,0.9765625,0.910724655715945,0.7609746108780178,0.75958627377102,0.7218556463231615
l318-s3-patsidis-2014,l146-s3-tao-2011,1.0,1.0,0.7885694774547036,0.7832477752737816,0.7840675723501391
l258-s4-du-2004,e410-s2-prasad-2021,1.0,1.0,0.7293367905375686,0.7273666756882289,0.700671498224732
l140-s9-gao-2012,l142-s2-gao-2014,1.0,1.0,0.8600058809759248,0.8561734719581771,0.8260541290016252
l171-s15-rittigstein-2006,l309-s4-torki-2010,0.9109914475768135,0.9109914475768135,0.7944342595657156,0.7798354102227337,0.7135017337992395
l302-s3-bandyopadhyay-2005,l129-s12-wu-2011,0.562862950058072,0.562862950058072,0.6316671020722665,0.6206090702983406,0.5595758790460177
l211-s15-ash-2004,l294-s6-sarwar-2007,1.0,0.968931475029036,0.7257920527707048,0.7024958640506448,0.6538966560548556
l278-s1-choi-2001,l308-s3-demetrio-2013,0.9345445495271278,1.0,0.6943733168689614,0.6943764452493503,0.5865916425158997
l262-s5-oyarzabal-2016,l316-s10-chandrasekaran-2013,1.0,1.0,0.7291324890852022,0.7218189090858369,0.689861030985565
l290-s24-si-2006,l212-s5-ghanbari-2012,1.0,1.0,0.678327233367037,0.6712481675726002,0.6426296688661715
l308-s4-demetrio-2013,l102-s8-hu-2007,0.7735191637630662,1.0,0.8822991790789048,0.8823114970766857,0.7749292341209632
l254-s7-castillo-2011,l208-s5-li-2012,0.7582081585239309,0.7582081585239309,0.5392515156135678,0.5337112346230247,0.5229121364662755
l121-s8-nelson-2005,l208-s5-li-2012,0.7895060463209674,0.8543910357934749,0.7729347566593598,0.7713283406631223,0.6770898773079542
l140-s9-gao-2012,l294-s4-sarwar-2007,1.0,1.0,0.7076785964013405,0.6962793704641832,0.6585061620531977
l225-s8-ma-2007,l271-s15-sun-2004,0.9166666666666666,0.8333333333333334,0.6979410273910743,0.6956666475855933,0.6694014867454576
l177-s2-yang-2013,l306-s2-jiang-2008,0.8,0.8,0.6659810003133018,0.6651504785936435,0.643536783793035
l278-s1-choi-2001,l287-s4-jang-2008,0.6023327013732322,0.7925377468060395,0.33808317534330806,0.33808381942162335,0.33808317534330806
l274-s3-goh-2003,l294-s4-sarwar-2007,1.0,0.9333333333333333,0.8409043091459623,0.8316721734325306,0.7719293873331873
l308-s4-demetrio-2013,l377-s4-wanasekara-2017,0.75,1.0,0.865772830469605,0.8442755053849228,0.8004948175370946
l282-s3-cui-2008,l266-s8-kalaitzidou-2007,0.9437536295005808,1.0,0.7524761868640991,0.7494513670048139,0.7050112903454007
l325-s5-manafi-2015,l260-s5-haggenmueller-2006,0.8400116144018583,0.9239784605638264,0.7095191381389618,0.7082681230696178,0.6673041492447612
l238-s3-zhao-2008,l132-s4-holt-2014,0.849906191369606,0.9365853658536586,0.6907199655933203,0.6720849219786199,0.5850370702497404
l225-s8-ma-2007,l118-s1-fidelus-2005,0.7706736353077815,0.8712364213978274,0.4581573025551684,0.4581681302272919,0.4581573025551684
l314-s4-diezpascual-2011,l217-s6-ash-2002,0.755464048146975,0.8260162601626017,0.49847906823648797,0.4963602143377569,0.46179668062615237
l221-s8-dai-2008,l200-s4-schoch-2008,0.7020905923344948,0.7020905923344948,0.6053879766331113,0.6002085591112349,0.5528289427294473
l320-s2-wang-2014,l137-s8-yang-2014,0.8848124615699939,0.8888888888888888,0.7160974673640563,0.7160987555206869,0.6828806901462703
l196-s4-petersson-2006,l102-s8-hu-2007,0.8898954703832752,0.8898180410375532,0.8391723721975493,0.8391728993875777,0.7940215919631795
l142-s2-gao-2014,l392-s1-wang-2020,0.9301684088269453,0.915543656486985,0.578710256968641,0.5787391510375098,0.5103913702003043
l261-s2-wang-2016,l236-s9-fukushima-2012,0.8865269638897687,0.8459670573362094,0.7598006883952492,0.7495373259160435,0.7005645764987672
l325-s5-manafi-2015,l306-s2-jiang-2008,0.9337979094076655,0.9288203086112494,0.7521964009602561,0.752156929533778,0.7402152498135885
l191-s2-xie-2004,l120-s2-murugaraj-2005,1.0,1.0,0.7555662034498125,0.744260960979395,0.7152307869270849
l110-s7-singha-2008,l289-s1-motaung-2012,0.8931958962446767,0.8931958962446767,0.7024656407278358,0.7024751707014276,0.5473074582108908
e116-s21-prasad-2018,l383-s1-sadeghi-2017,1.0,1.0,0.8390937019969278,0.8390937019969278,0.7379196550600061
