record_id,paper_group,method_id,process_method,display_label,view,cluster,pcoa1,pcoa2
l110-s7-singha-2008,article:l110,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.2240145446732212,0.16426821715474857
l238-s3-zhao-2008,article:l238,M1,Solution Processing,Solution processing,method_aware_process,1,0.09733473366922064,-0.35823168772471964
l242-s4-narayanan-2006,article:l242,M1,Solution Processing,Solution processing,method_aware_process,1,-0.1442247857348914,-0.3377064577022937
l140-s9-gao-2012,article:l140,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.28471827300174024,0.19402306118553433
l210-s4-zhang-2014,article:l210,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3210334071512956,0.18816773000745032
l380-s1-zhao-2017,article:l380,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.40887766844110346,0.08894443091673365
l386-s54-jimenez-2019,article:l386,M1,Solution Processing,Solution processing,method_aware_process,1,0.07628059672557247,-0.30235563437036567
l121-s8-nelson-2005,article:l121,M1,Solution Processing,Solution processing,method_aware_process,1,0.06779109325991198,-0.2921863803151175
l379-s8-liu-2017,article:l379,M1,Solution Processing,Solution processing,method_aware_process,1,0.07752878048499902,-0.37650939370998293
l211-s17-ash-2004,article:l211,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3245629796839882,0.09912362982915264
l396-s6-ghosh-2013,article:l396,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.31302864954725623,0.14795840297606774
l111-s3-singha-2009,article:l111,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.2230471628033102,0.13814600225178902
l211-s15-ash-2004,article:l211,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3245629796839882,0.09912362982915268
l313-s2-huang-2014,article:l313,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3058172011320554,0.18412426884133423
l290-s24-si-2006,article:l290,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3584092284403483,0.0967119253776233
l229-s2-bao-2011,article:l229,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.30585027045893554,0.10454085000759236
l203-s17-ma-2009,article:l203,M1,Solution Processing,Solution processing,method_aware_process,1,0.09827285313488453,-0.3561189790074272
l383-s1-sadeghi-2017,article:l383,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.4078479372710866,0.08476962202760886
l309-s4-torki-2010,article:l309,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3741093209071579,0.2365829533488993
l142-s2-gao-2014,article:l142,M1,Solution Processing,Solution processing,method_aware_process,1,0.08349360094522125,-0.33632703523986485
l177-s2-yang-2013,article:l177,M1,Solution Processing,Solution processing,method_aware_process,1,-0.13339313955868276,-0.3343693156776828
l274-s3-goh-2003,article:l274,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3168925145241214,0.1976692128853838
l221-s8-dai-2008,article:l221,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.1637746126308533,0.2617587914871643
l191-s3-xie-2004,article:l191,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.21846203849411758,0.2619327562011508
l275-s1-zhou-2006,article:l275,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.2750240129537208,0.06617856517995131
l382-s1-huang-2019,article:l382,M1,Solution Processing,Solution processing,method_aware_process,1,0.05292653504674586,-0.32855560714014365
l258-s4-du-2004,article:l258,M1,Solution Processing,Solution processing,method_aware_process,1,-0.05570874440973962,-0.3520055308998015
l200-s4-schoch-2008,article:l200,M1,Solution Processing,Solution processing,method_aware_process,1,-0.030173751750245507,-0.3016192779507214
l325-s5-manafi-2015,article:l325,M1,Solution Processing,Solution processing,method_aware_process,1,0.09073522405977384,-0.32706945077231275
l180-s3-maillard-2012,article:l180,M1,Solution Processing,Solution processing,method_aware_process,2,-0.05183712469742262,-0.23332676799788954
l310-s5-chatterjee-2007,article:l310,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.27431789986238797,0.14617872982669525
l413-s3-botta-2018,article:l413,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.30312059920984136,0.17453424720823685
l375-s4-rishi-2018,article:l375,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.40757320444444617,0.0856077282060368
l252-s3-ameli-2014,article:l252,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3742211323988476,0.14484659932864077
l154-s3-eitan-2005,article:l154,M1,Solution Processing,Solution processing,method_aware_process,1,0.05556180635547903,-0.33440336870343934
l376-s6-carroll-2017,article:l376,M1,Solution Processing,Solution processing,method_aware_process,1,0.10816381897227917,-0.34939663227512724
l111-s4-singha-2009,article:l111,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.22304517228442441,0.13814589339835343
l179-s5-ramanathan-2007,article:l179,M1,Solution Processing,Solution processing,method_aware_process,1,0.019907002608618777,-0.23579654707333625
l221-s4-dai-2008,article:l221,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.16377461263085324,0.26175879148716424
l208-s5-li-2012,article:l208,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.301568509954066,0.19378327217687893
l209-s7-ash-2001,article:l209,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3541203948889119,0.19988841124481543
l136-s5-vescovo-2010,article:l136,M1,Solution Processing,Solution processing,method_aware_process,1,-0.047023746916026864,-0.33129574915627347
l259-s2-chen-2017,article:l259,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.2686483726382672,0.20192088920781656
l314-s4-diezpascual-2011,article:l314,M1,Solution Processing,Solution processing,method_aware_process,1,0.026106387851100237,-0.22937692628679285
l282-s3-cui-2008,article:l282,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.2950805226300775,0.1200176865047049
l118-s1-fidelus-2005,article:l118,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.2159367943041598,0.10663536435389598
l278-s2-choi-2001,article:l278,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3138148964870562,0.1968334281146355
l146-s4-tao-2011,article:l146,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.4332146288093254,0.2201672084020108
l132-s4-holt-2014,article:l132,M1,Solution Processing,Solution processing,method_aware_process,1,0.07175007974703304,-0.32256912648224695
l137-s8-yang-2014,article:l137,M1,Solution Processing,Solution processing,method_aware_process,1,0.05768897078671654,-0.31600296955865176
l271-s15-sun-2004,article:l271,M1,Solution Processing,Solution processing,method_aware_process,1,-0.13835811737483567,-0.33150816971024
l266-s8-kalaitzidou-2007,article:l266,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.368699855930037,0.12920144876663703
l261-s2-wang-2016,article:l261,M1,Solution Processing,Solution processing,method_aware_process,1,0.09056837661586535,-0.2940192466395504
l377-s4-wanasekara-2017,article:l377,M1,Solution Processing,Solution processing,method_aware_process,1,-0.03506488569653521,-0.32959761781404334
l318-s3-patsidis-2014,article:l318,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.25146008005905174,0.07679697936059043
l375-s1-rishi-2018,article:l375,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.4077130433070755,0.08533105245655875
l146-s3-tao-2011,article:l146,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.4332146288093255,0.220167208402011
l304-s3-stockelhuber-2011,article:l304,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.33945036656255945,0.07456093369261176
l229-s7-bao-2011,article:l229,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.30585027045893565,0.10454085000759249
l316-s3-chandrasekaran-2013,article:l316,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.2518475254166305,0.07674935327318348
l120-s11-murugaraj-2005,article:l120,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.4182521816140816,0.1774736046586391
l297-s1-shen-2004,article:l297,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.26628803262456013,0.1083024872969318
l267-s3-kim-2006,article:l267,M1,Solution Processing,Solution processing,method_aware_process,1,-0.03463721932935769,-0.3429813046024892
l279-s1-motaung-2012,article:l279,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.3765539153114939,0.23586095380277303
l302-s3-bandyopadhyay-2005,article:l302,M1,Solution Processing,Solution processing,method_aware_process,1,0.06129260897037662,-0.2821443852942506
l396-s4-ghosh-2013,article:l396,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3130286495472561,0.1479584029760678
l297-s2-shen-2004,article:l297,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.2662880326245601,0.10830248729693179
l287-s3-jang-2008,article:l287,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.38916147000100265,0.09626807022811877
l129-s12-wu-2011,article:l129,M1,Solution Processing,Solution processing,method_aware_process,1,-0.07887261138926628,-0.3012047816903327
l191-s2-xie-2004,article:l191,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.2184620384941176,0.2619327562011509
l209-s12-ash-2001,article:l209,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3541203948889119,0.19988841124481557
l397-s1-tuncer-2007,article:l397,M1,Solution Processing,Solution processing,method_aware_process,1,0.07834214458637098,-0.3550351119806006
l102-s8-hu-2007,article:l102,M2,Melt Mixing,Melt mixing,method_aware_process,3,-0.38074244358645354,0.2262889459505826
l294-s4-sarwar-2007,article:l294,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3447455470102131,0.1165292147249081
l278-s1-choi-2001,article:l278,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.31381489648705624,0.19683342811463556
l287-s4-jang-2008,article:l287,M3,In-Situ Polymerization,In-situ polymerization,method_aware_process,2,0.3891614700010026,0.09626807022811881
l217-s6-ash-2002,article:l217,M1,Solution Processing,Solution processing,method_aware_process,1,0.03418408741054055,-0.3269041771065147
