sample_id,article_group,view,mask_fraction,replicate,distance_threshold,rule,eligible_pairs,reference_close_pairs,accepted_pairs,contradictory_pairs,retained_reference_close_pairs,point_defined_pairs
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.4,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.4,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.4,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.4,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.5,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.5,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.5,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,experimental_protocol,0.0,0,0.5,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.1,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.1,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.2,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.2,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.2,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.3,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.3,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.3,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.3,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.4,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.4,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.4,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.4,coverage_0.75,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.5,reported_point,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.5,interval_upper,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.5,coverage_0.5,119,0,0,0,0,119
l212-s5-ghanbari-2012,article:l212,balanced_instance,0.0,0,0.5,coverage_0.75,119,0,0,0,0,119
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.1,reported_point,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.1,interval_upper,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.1,coverage_0.5,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.1,coverage_0.75,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.2,reported_point,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.2,interval_upper,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.2,coverage_0.5,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.2,coverage_0.75,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.3,reported_point,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.3,interval_upper,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.3,coverage_0.5,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.3,coverage_0.75,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.4,reported_point,118,1,1,0,1,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.4,interval_upper,118,1,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.4,coverage_0.5,118,1,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.4,coverage_0.75,118,1,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.5,reported_point,118,11,11,0,11,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.5,interval_upper,118,11,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.5,coverage_0.5,118,11,0,0,0,118
l324-s6-zhu-2017,article:l324,material_identity,0.0,0,0.5,coverage_0.75,118,11,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.1,reported_point,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.1,interval_upper,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.1,coverage_0.5,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.1,coverage_0.75,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.2,reported_point,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.2,interval_upper,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.2,coverage_0.5,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.2,coverage_0.75,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.3,reported_point,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.3,interval_upper,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.3,coverage_0.5,118,0,0,0,0,118
l324-s6-zhu-2017,article:l324,experimental_protocol,0.0,0,0.3,coverage_0.75,118,0,0,0,0,118
