sample_id,article_group,mask_fraction,replicate,reported_setting_count,masked_keys
l240-s6-hong-2005,article:l240,0.75,1,3,"[""mixing#0:mixer"", ""mixing#0:temperature"", ""mixing#0:time""]"
l240-s6-hong-2005,article:l240,0.75,2,3,"[""mixing#0:mixer"", ""mixing#0:temperature"", ""mixing#0:time""]"
l262-s5-oyarzabal-2016,article:l262,0.25,0,4,"[""molding#0:temperature""]"
l262-s5-oyarzabal-2016,article:l262,0.25,1,4,"[""mixing#0:rotational frequency""]"
l262-s5-oyarzabal-2016,article:l262,0.25,2,4,"[""mixing#0:temperature""]"
l262-s5-oyarzabal-2016,article:l262,0.5,0,4,"[""mixing#0:mixer"", ""mixing#0:rotational frequency""]"
l262-s5-oyarzabal-2016,article:l262,0.5,1,4,"[""mixing#0:mixer"", ""molding#0:temperature""]"
l262-s5-oyarzabal-2016,article:l262,0.5,2,4,"[""mixing#0:temperature"", ""molding#0:temperature""]"
l262-s5-oyarzabal-2016,article:l262,0.75,0,4,"[""mixing#0:rotational frequency"", ""mixing#0:temperature"", ""molding#0:temperature""]"
l262-s5-oyarzabal-2016,article:l262,0.75,1,4,"[""mixing#0:rotational frequency"", ""mixing#0:temperature"", ""molding#0:temperature""]"
l262-s5-oyarzabal-2016,article:l262,0.75,2,4,"[""mixing#0:rotational frequency"", ""mixing#0:temperature"", ""molding#0:temperature""]"
l378-s1-sotta-2017,article:l378,0.25,0,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.25,1,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.25,2,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.5,0,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.5,1,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.5,2,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.75,0,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.75,1,1,"[""mixing#0:mixing method""]"
l378-s1-sotta-2017,article:l378,0.75,2,1,"[""mixing#0:mixing method""]"
l110-s7-singha-2008,article:l110,0.25,0,11,"[""drying evaporation#0:ambient condition"", ""mixing#0:mixing method"", ""molding#0:temperature""]"
l110-s7-singha-2008,article:l110,0.25,1,11,"[""drying evaporation#0:ambient condition"", ""mixing#1:time"", ""mixing#2:mixing method""]"
l110-s7-singha-2008,article:l110,0.25,2,11,"[""drying evaporation#0:time"", ""mixing#1:mixing method"", ""molding#0:ambient condition""]"
l110-s7-singha-2008,article:l110,0.5,0,11,"[""drying evaporation#0:time"", ""mixing#2:mixing method"", ""mixing#3:mixing method"", ""molding#0:ambient condition"", ""molding#0:temperature"", ""molding#0:time""]"
l110-s7-singha-2008,article:l110,0.5,1,11,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""molding#0:ambient condition"", ""molding#0:temperature""]"
l110-s7-singha-2008,article:l110,0.5,2,11,"[""drying evaporation#0:ambient condition"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:time"", ""molding#0:ambient condition"", ""molding#0:temperature""]"
l110-s7-singha-2008,article:l110,0.75,0,11,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:rotational frequency"", ""mixing#1:time"", ""mixing#2:mixing method"", ""molding#0:ambient condition"", ""molding#0:time""]"
