view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
experimental_protocol,0.5,0.5,interval_upper,42666,292,0,1548,292,93,360,0.006843856935264614,0.004773945393902515,0.009072242276007466,0.0,0.0,0.0,0.18863049095607234,0.1440228846732912,0.23123589542459244
experimental_protocol,0.5,0.5,reported_point,42666,1350,306,1548,1044,93,360,0.03164111939249051,0.0266010742596162,0.037233958184693966,0.22666666666666666,0.18519484010682885,0.2731822234247341,0.6744186046511628,0.6385170479611773,0.7166042188332689
experimental_protocol,0.75,0.1,coverage_0.5,42666,136,90,48,46,93,360,0.00318754980546571,0.0018753270138980676,0.004653338856317325,0.6617647058823529,0.49501894633907834,0.8145834492737493,0.9583333333333334,0.8664912280701754,1.0
experimental_protocol,0.75,0.1,coverage_0.75,42666,0,0,48,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.1,interval_upper,42666,0,0,48,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.1,reported_point,42666,136,90,48,46,93,360,0.00318754980546571,0.0018753270138980676,0.004653338856317325,0.6617647058823529,0.49501894633907834,0.8145834492737493,0.9583333333333334,0.8664912280701754,1.0
experimental_protocol,0.75,0.2,coverage_0.5,42666,203,123,108,80,93,360,0.004757886841981906,0.003253876917072336,0.006364372172500716,0.6059113300492611,0.45929162891372194,0.7465143804000474,0.7407407407407407,0.5746305418719212,0.8692881500426257
experimental_protocol,0.75,0.2,coverage_0.75,42666,0,0,108,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.2,interval_upper,42666,0,0,108,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.2,reported_point,42666,203,123,108,80,93,360,0.004757886841981906,0.003253876917072336,0.006364372172500716,0.6059113300492611,0.45929162891372194,0.7465143804000474,0.7407407407407407,0.5746305418719212,0.8692881500426257
